dataset,t8,t16,t32,t64,t128,t256,t512,t1024
500,275.3588805183592,277.4512109099459,278.7171139393987,210.33305704838554,286.66056635706246,267.1587217134383,220.78152919274416,222.20897058869684
1000,564.3041161363816,565.8019083620401,569.3216606033092,574.2289985644276,570.7151774567504,519.8170930946854,414.43619409428425,249.03837552553895
2000,1025.8611141876177,1156.4873582353553,1155.23488216916,1148.6745546108716,1147.1618194822445,1034.9354736587272,812.3634184311118,503.02084040458897
5000,1214.45893596397,2000.6917921741008,2952.531659031066,2604.133056195457,2610.489497339075,2542.1748525803023,1994.8325017818959,1236.2652531610622
10000,1311.493257219674,2339.900853805812,4010.1777782280647,3794.8920235634755,3956.3172993033213,4302.482852648464,3711.0107471578426,2467.780004453351
