dataset,t8,t16,t32,t64,t128,t256,t512,t1024
500,2.99377,2.90206,2.72157,2.85324,2.84563,3.29869,4.62365,7.3131
1000,6.07816,5.05048,5.5069,5.50761,5.43618,5.98105,14.8136,17.0918
2000,12.0292,14.4922,10.524,10.5483,10.5312,12.1176,28.4284,38.6694
5000,60.8453,28.315,27.5646,29.8706,25.4674,24.4546,28.6489,143.613
10000,173.647,104.374,61.7307,63.5413,62.7363,68.5925,64.5592,107.297
