dataset,t8,t16,t32,t64,t128,t256,t512,t1024
500,2.57119,2.5518,2.54021,3.36609,2.46982,2.65011,3.20679,3.18619
1000,4.93351,4.92045,4.89003,4.84824,4.87809,5.35573,6.71756,11.179
2000,10.8348,9.611,9.62142,9.67637,9.68913,10.7398,13.6823,22.0965
5000,57.1522,34.6925,23.5083,26.6534,26.5885,27.303,34.7944,56.1441
10000,211.263,118.411,69.0917,73.0113,70.0323,64.3977,74.6616,112.275
