dataset,t1,t2,t3,t4,t5,t6,t7,t8
500,714,366,246,187,151,128,110,102
1000,2808,1433,966,734,595,501,430,383
2000,11201,5705,3839,2933,2356,1997,1712,1512
5000,69843,35657,23913,18274,14702,12422,10643,9340
10000,278860,142676,95384,72629,58425,49447,42727,38811
