dataset,t8,t16,t32,t64,t128,t256,t512,t1024
500,236.49111321176977,243.96463202001337,260.14396102249805,248.13895781637717,248.8025498747202,214.63065641209084,153.12577725390116,96.81256922508922
1000,458.0333521986917,551.2347341242812,505.5475857560515,505.4824143321695,512.1243225941746,465.47010976333587,187.93541070367772,162.88512620086826
2000,924.0015961161175,766.9642980361849,1056.1573546180161,1053.7242968061205,1055.4352780309937,917.260843731432,390.9822571794403,287.43657775915835
5000,1140.7454643168824,2451.3155571251987,2518.04851149663,2323.65603637021,2725.4058129216173,2838.279914617291,2422.7457249667527,483.30582885950435
10000,1595.5933589408398,2654.588307432886,4488.36640439846,4360.471063701876,4416.42239022703,4039.362904107592,4291.719847829589,2582.2716385360263
