dataset,t1,t2,t3,t4,t5,t6,t7,t8
500,0.9460887949260042,1.8568464730290457,2.7203647416413372,3.5236220472440944,3.908296943231441,4.543147208121828,3.9955357142857144,4.068181818181818
1000,0.9513541940573231,1.891270256142185,2.7534246575342465,3.50921435499515,4.3590361445783135,4.836898395721925,4.261484098939929,4.317422434367542
2000,0.9799865681665547,1.95028067361668,2.8645465253239104,3.670020120724346,4.341565010413567,4.444715199512641,3.6534802203304957,4.022050716648291
5000,0.9696920670873106,1.9397398002114392,2.7299365378192086,3.2613269488881635,4.1388914464598106,4.777606546923159,4.013257744844211,4.353120612017625
10000,1.0081745170880847,1.930287737270262,2.6880272720461527,3.371907894736842,4.0990688374750075,4.7736840704667625,4.160869817338359,4.598684885151764
