dataset,t8,t16,t32,t64,t128,t256,t512,t1024
500,4.61681,3.7373,3.29435,3.24836,3.35013,3.9333,3.14857,10.1551
1000,11.9962,8.18469,7.05312,6.96459,7.13643,7.89138,7.95346,11.4345
2000,40.3737,19.1584,14.556,13.4813,14.0724,14.6884,14.8974,23.2432
5000,195.693,91.7952,43.1668,47.8035,49.0118,54.4679,54.3321,54.3364
10000,655.662,308.411,168.603,187.153,164.3,177.304,175.151,201.798
