dataset,t8,t16,t32,t64,t128,t256,t512,t1024
500,193.8567972257901,239.47769780322693,271.67726562144276,275.52364885665384,267.15381194162615,227.54430122289173,284.25602733939536,88.13305629683607
1000,301.59550524332707,442.04484226036664,512.9644752960393,519.4849948094576,506.97617716421234,458.47494354599576,454.896359571809,316.4108618654073
2000,361.4234018680478,761.6502421914147,1002.4732069249794,1082.3881969839704,1036.9233393024645,993.4369979031072,979.4997784848363,627.7965168307289
5000,459.4185791009387,979.4085093773967,2082.7348795833836,1880.7200309600762,1834.3541759331426,1650.6052188536735,1654.7308129080232,1654.599863075213
10000,547.1889479640424,1163.28859865569,2127.9040111979025,1916.9930484683655,2183.633597078515,2023.4794477281955,2048.352564358753,1777.8719313372778
