dataset,t1,t2,t3,t4,t5,t6,t7,t8
500,874,860,852,256,189,183,177,173
1000,3401,1724,1177,917,779,649,778,726
2000,13932,6904,4811,3666,3002,2567,3200,3033
5000,85579,43908,32252,24260,20125,16937,20306,18857
10000,345545,182760,126793,101475,88801,80601,88740,79540
