dataset,t1,t2,t3,t4,t5,t6,t7,t8
500,916,453,306,234,189,163,190,183
1000,3533,1810,1239,956,791,659,783,779
2000,14148,7237,5033,4072,3193,2724,3377,3145
5000,88207,44840,31374,25749,21129,18367,23131,20855
10000,353301,180692,129802,104215,85203,74547,84444,76523
