dataset,t8,t16,t32,t64,t128,t256,t512,t1024
500,172.45368768083412,165.10054661155743,166.70330825774013,141.46130173598326,175.65346311277276,137.05089114512936,172.69617949312087,172.57075004947555
1000,306.64470264889576,347.6029278132271,363.02353447889277,365.86147713024184,346.0513758549387,351.44221546911126,343.3480628106999,290.6088510055684
2000,328.50760807497227,609.5411079651691,687.1803622602873,686.2607510174623,686.8632142910891,693.6521606970971,677.0241003174477,596.4531684940995
5000,427.4606732578153,789.3890675241158,1538.8661232944567,1550.1324527343324,1554.730578151444,1481.231047701278,1775.8755802037495,1801.2080579361816
10000,496.0902433434878,837.3831499376635,1559.815683430785,2133.658953078111,1828.6307679063361,1813.6710265810693,1570.4106905219578,1549.659392469245
