dataset,t8,t16,t32,t64,t128,t256,t512,t1024
500,5.05643,5.28163,5.23085,6.16423,4.96432,6.3626,5.04933,5.053
1000,11.3519,10.0143,9.58891,9.51453,10.0592,9.9049,10.1384,11.9783
2000,41.6794,22.4628,19.9249,19.9516,19.9341,19.739,20.2238,22.9557
5000,199.864,108.228,55.5175,55.114,54.951,57.6777,48.1081,47.4315
10000,685.081,405.862,217.886,159.286,185.856,187.389,216.416,219.314
