dataset,t1,t2,t3,t4,t5,t6,t7,t8
500,0.9953106682297772,1.8993288590604027,2.5343283582089553,3.053956834532374,3.5375,3.2404580152671754,3.167910447761194,3.5822784810126582
1000,1.0071577691619444,1.9319221967963387,2.5641609719058467,3.1384758364312266,3.650810810810811,4.0686746987951805,3.2471153846153844,3.627282491944146
2000,1.0107865168539325,1.9140425531914893,2.600501059934477,3.1425244527247322,3.6648560564910375,4.1177906621910285,3.3146647015475312,3.685878175361923
5000,1.0027564386812238,1.9307058633500243,2.5790950003082425,3.1343322719610414,3.6369208032687124,4.095697293063782,3.6742929913929387,3.9415394761635576
10000,0.9954940379890946,1.9146167896880961,2.5651445555255337,3.121398577749387,3.6155863374718447,4.065930838697046,3.7494893871517396,4.033405761037132
