dataset,t1,t2,t3,t4,t5,t6,t7,t8
500,853,447,335,278,240,262,268,237
1000,3353,1748,1317,1076,925,830,1040,931
2000,13350,7050,5189,4294,3682,3277,4071,3661
5000,83441,43337,32442,26695,23006,20429,22772,21228
10000,333780,173547,129535,106451,91901,81722,88619,82381
