dataset,t8,t16,t32,t64,t128,t256,t512,t1024
500,0.184232,0.184471,0.184328,0.183697,0.183685,0.184023,0.184591,0.201123
1000,0.460644,0.462462,0.461142,0.461939,0.462249,0.511694,0.461942,0.460377
2000,0.483128,0.483829,0.483322,0.483465,0.483095,0.482984,0.483207,0.483941
5000,1.43579,1.54918,1.57177,1.4922,1.50337,1.58522,1.49648,1.55156
10000,3.86841,3.85394,3.63474,3.84944,3.86665,3.62096,3.96663,3.84129
