dataset,t8,t16,t32,t64,t128,t256,t512,t1024
500,4608.319944417908,4602.349420776165,4605.919881949569,4621.741236928203,4622.043171734219,4613.553740565038,4599.35749846959,4221.297415014693
1000,7331.040890579276,7302.221587935874,7323.1238967606505,7310.489047255157,7305.586383096555,6599.6474455436255,7310.441570586783,7335.292597154072
2000,27930.486330744647,27890.018994314105,27919.275348525414,27911.01734355124,27932.39424957824,27938.813708114554,27925.919947351755,27883.564318790926
5000,58275.23523635072,54009.86328251075,53233.615605336665,56072.24232676585,55655.62702461802,52781.948246931024,55911.873195766064,53927.01539096135
10000,85894.72160396649,86217.22185607455,91416.7175643925,86318.00989234798,85933.81868025294,91764.61490875347,83767.8331480375,86501.1493534724
