dataset,t8,t16,t32,t64,t128,t256,t512,t1024
500,4597.365043780561,4534.965707326453,4584.109500283469,4576.301335158823,4582.278617652298,4574.747823088197,4584.802648277054,4588.990746346104
1000,7326.571568042524,6507.6841547429785,7297.818866277248,7305.554774354193,6817.663340271454,7314.146603480988,6535.8338655673615,7319.362172964093
2000,27718.834798291762,27842.71568613291,27784.755653108543,27871.412283745598,27728.403839317456,27855.01520321528,27735.413934712637,27755.894579434636
5000,58233.05471071734,58267.5246173345,56281.951245762255,56071.11504258727,54823.8084629598,58263.87293098526,56350.55864981176,56289.90265266444
10000,88510.86953626332,90256.828151951,88854.06610920507,90027.69032355954,90798.444592006,88948.01933815538,91549.45487908703,90965.237435597
