dataset,t8,t16,t32,t64,t128,t256,t512,t1024
500,0.184671,0.187212,0.185205,0.185521,0.185279,0.185584,0.185177,0.185008
1000,0.460925,0.518925,0.462741,0.462251,0.495331,0.461708,0.51669,0.461379
2000,0.486817,0.484651,0.485662,0.484152,0.486649,0.484437,0.486526,0.486167
5000,1.43683,1.43598,1.48664,1.49223,1.52618,1.43607,1.48483,1.48643
10000,3.75407,3.68145,3.73957,3.69082,3.65949,3.73562,3.62947,3.65278
