dataset,t8,t16,t32,t64,t128,t256,t512,t1024
500,177.00235146140656,169.4552628639265,171.10029918655667,145.19250579553326,180.28652463982982,140.6657655675353,177.25123927332933,177.12250148426676
1000,318.7131669588351,361.2833647883526,377.3108726643591,380.26050682482474,359.6707491649435,365.2737533947844,356.8610431626292,302.0462002120501
2000,350.1010091316094,649.6073508200224,732.3499741529442,731.3699151947714,732.0119794723614,739.2471756421297,721.526122687131,635.6591173434049
5000,449.8308850018012,830.7000036959013,1619.3992885126313,1631.2552164604276,1636.0939746319448,1558.7480083290422,1868.8121127211425,1895.4703098152072
10000,523.6913591239576,883.9728774805229,1646.5995979548939,2252.3699509059174,1930.370824724518,1914.5787639615985,1657.7840825077628,1635.8782385073457
